"","x"
"COL5A1",5.9478287119825
"FNIP1",5.94288307053401
"SPTAN1",5.9335716863258
"KCNQ3",5.93154097820092
"SPTB",5.92301718874425
"KIF14",5.92011513902395
"ZIC1",5.8993641409492
"CHD7",5.89918282387527
"PPP1R9A",5.88748539592642
"NF1",5.87603634287768
"LEPR",5.87150768058012
"C3",5.85507329457167
"PLD1",5.84986672899385
"EPHA4",5.83597813936938
"NCOA6",5.82711338612655
"PLXNA2",5.8071254653618
"PCDHA1",5.80392356367036
"LILRB1",5.80104993123346
"COL27A1",5.78981332174335
"ATP12A",5.78352381213818
"SALL1",5.78150747231888
"CASZ1",5.76716614488533
"FLT1",5.75829166402495
"DMBT1",5.75712516376456
"ZNF423",5.74449344909578
"BRCA2",5.74110840012163
"LRP6",5.72798210156121
"MYH2",5.72329551499951
"ADAMTS7",5.72167627850555
"RIF1",5.72116319154122
"NLRP7",5.71032693598633
"PCDHGA4",5.70378458744392
"PCDHGA12",5.69942421125201
"CDH2",5.69746031822283
"GRIP1",5.69673907563468
"COL4A3",5.69536053701238
"SMARCA4",5.69473330648461
"RASGRF1",5.69315639758392
"FLNC",5.68039595805711
"PIK3CG",5.6636331787517
"MYPN",5.65161883707115
"PCDH9",5.64878820666519
"WDR70",5.64877332913261
"CHD3",5.64631264632556
"JAG1",5.64586834028807
"CNGB1",5.63294199627601
"PLXND1",5.62754544232732
"PCDHA2",5.62525575556645
"MADD",5.62119482880007
"BCLAF1",5.61936214823356
"PDHA2",5.60401653645912
"TUBGCP6",5.60275525969079
"PCDHB12",5.60138987998021
"CUL3",5.58508275917708
"AKAP13",5.57993217537616
"PARD3",5.57388407475999
"SMAD4",5.56693078068983
"PCDHGA1",5.56601981956334
"IFT172",5.55522458038646
"FOXG1",5.55188458077549
"NCOR2",5.55179628195466
"EYA4",5.53231316508711
"GOLGB1",5.51994664245152
"NCOR1",5.50733423231224
"PCDHB2",5.49432468611713
"NLRP4",5.48260103792821
"TAF1",5.4808094174531
"SALL3",5.47725272413626
"MYH3",5.46752650214975
"KLHL24",5.45984154267413
"ALK",5.45959857186669
"HNRNPL",5.44577313193435
"DOCK4",5.43820043488235
"EPHA10",5.42900378090441
"TRIP12",5.42553394994761
"CACNA1A",5.41387556923583
"FGD1",5.40781650150984
"SLX4",5.3979020769327
"TICRR",5.39744402475932
"HDAC9",5.38924649031556
"KCNA4",5.3878985203728
"DNMT3A",5.38572458018709
"ITGB4",5.37762878598555
"BCAN",5.37555381346646
"PLXNA3",5.3731877192198
"ATP7A",5.35935109005428
"CNTRL",5.35104284799771
"GRIA1",5.34903727506009
"FEZF1",5.34890484283382
"COL4A4",5.34545977306858
"SFI1",5.34484591118307
"PDGFRB",5.3425664942327
"OR5D18",5.33586399738436
"PCDHGA7",5.3287085229004
"HECW1",5.31963531067128
"ZNF667",5.3108318264
"KCNJ12",5.3090353589602
"RAC1",5.30325958098827
"PCDHGB4",5.30249581794569
"DNM3",5.29738105540995
"PSD",5.2847577054043
"TP63",5.28195507687278
"RLF",5.28178072199351
"APAF1",5.27399421843882
"ZNF479",5.26137837672727
"POLR2A",5.25733870009037
"COL17A1",5.25664399024745
"NOS2",5.2428701950506
"ARHGEF12",5.23696562488507
"IFT80",5.2288569161841
"SRRT",5.22864468695589
"CDH8",5.2186116325042
"ITPR3",5.2025273497978
"COL16A1",5.20128286489424
"HIVEP1",5.19793056851489
"PRKCG",5.19185772142294
"ITGB1",5.1908623774817
"COL15A1",5.18718504976717
"MYH6",5.18505312212419
"DIAPH1",5.1793771775266
"ALPK3",5.17680569734426
"CTNNA3",5.16544438693619
"MAP3K5",5.16117307567228
"TPO",5.15444615661918
"BCL9",5.14711740400379
"FREM1",5.14295494767688
"DLC1",5.13073735620745
"LIFR",5.13032651293978
"ARHGAP30",5.1301691066811
"PHKA2",5.12821158890453
"NCK2",5.12128593886395
"EGF",5.11998144971198
"DOT1L",5.11586136144014
"OR56A1",5.11455417401038
"BSX",5.11239830006011
"MYH10",5.10322431190347
"KNTC1",5.09550643619769
"MCM3AP",5.08977851535756
"DOCK10",5.08976122834986
"COPA",5.0862941670339
"DHX9",5.07713366788457
"AKT3",5.07420651175422
"LRP5",5.06290174831276
"PCDHB11",5.06263296458265
"BRD4",5.05676303499722
"OGDHL",5.05649605457036
"DLG5",5.04823823558304
"PCDHGA3",5.04768443996311
"MAML3",5.04048483196086
"RET",5.0287273394902
"DICER1",5.02536953578821
"ADAMTS3",5.0249625640307
"CPT1C",5.02249084914182
"SMG1",5.01889272844429
"EYA1",5.0130421784464
"ANK1",5.01050021251663
"TACC2",5.01047006322008
"NUMA1",5.00674187445099
"POLE",4.99644852750711
"ENPP2",4.98566356463957
"IRS4",4.9855992882815
"ABCA2",4.9823817257791
"ATN1",4.97167545134577
"CDH23",4.96628241339775
"ATP8B4",4.96277984495593
"ARID4B",4.95427337555376
"TLR4",4.94253828785901
"KCNA3",4.93755551930609
"KRT14",4.93363239569654
"COL4A5",4.93063542530877
"GRIK5",4.92836170801252
"ASAP1",4.92655935667535
"ZFAT",4.92557965924841
"MECOM",4.91755904895733
"CELSR3",4.91551824154407
"ASXL1",4.91054748565409
"ITGB6",4.90370850679135
"MC2R",4.89827525690225
"SOS1",4.89163046939473
"AXIN2",4.89114107794847
"MYO9B",4.89107241358372
"NCOA1",4.89101649441943
"CNTROB",4.88646591390067
"IRX1",4.87244147810003
"ROCK1",4.86335493178505
"FLT4",4.86162308521303
"CACNA1I",4.86059821603538
"ZNF560",4.84366225519052
"CATSPER1",4.8329626431001
"ANO1",4.82527481589224
"EIF2AK4",4.82258618657177
"NFATC1",4.81606669872237
"ZNF440",4.81370430291657
"ABL2",4.80065521185845
"MYH14",4.79727228021194
"PRPF6",4.78758672837914
"CNOT1",4.78600621338989
"PABPC5",4.78386568549628
"MCF2",4.78210124941252
"KIF5C",4.77987164843179
"SYNJ2",4.77852109498686
"ARHGAP31",4.76765747347171
"PCDHB8",4.76670358769617
"ZNF394",4.76287682407307
"MTMR8",4.76170127759175
"PAX3",4.75879590180896
"PIK3R4",4.75581141720504
"ADCY1",4.75522160233477
"GLI2",4.74763571550368
"CDH6",4.74709260794493
"PER1",4.7295548081677
"NEDD4",4.72547563806723
"NUP98",4.71907830163259
"DOCK1",4.71902551544532
"ZNF319",4.71563131763385
"NCBP1",4.71042928164701
"PCDHGB7",4.70853973913328
"COL6A1",4.70543051564368
"ESRRG",4.69650034953606
"ABCA1",4.69126704779272
"DNM2",4.68597193497601
"CHEK2",4.68023895396797
"PPFIA3",4.67633790716195
"ROCK2",4.67231296537371
"PIK3C2G",4.67018782999761
"GABRA1",4.67006059967559
"PCDHGA6",4.66821333989147
"DYRK1B",4.66601851295231
"IGHG3",4.6658014078786
"FLRT2",4.66338721222409
"ERCC3",4.65484633652402
"FLNA",4.65361642398823
"GRIN3A",4.64939107175043
"PCDHGB3",4.64196348260275
"MYO1F",4.64192483674104
"GABRB3",4.63675323854237
"DRP2",4.63525443258411
"AFF4",4.63415199205095
"KDM6B",4.6324087142483
"SEC16A",4.6274379582325
"ENAM",4.62578072386556
"NOTCH4",4.62493462870673
"ATP1A2",4.62323520965629
"BPIFB2",4.61936664373569
"RBBP6",4.61922170048147
"OR4C46",4.61754518862652
"GRIA2",4.60968855875759
"HK3",4.60495763501767
"MED1",4.60204223344283
"NRCAM",4.59719109149973
"GATA3",4.5969829023556
"C8A",4.59640547985453
"GRIA4",4.59626743710565
"PPP2R3A",4.59339888099059
"RFFL",4.59297931165388
"ARID2",4.59134342212143
"CARD6",4.59122580123817
"BBS9",4.58655274107713
"NUP205",4.58620460338412
"CKAP5",4.58372846262575
"EPHA1",4.58137172250005
"PCDHA4",4.57913549022351
"RPTOR",4.57472345007317
"NFATC2",4.57398788101671
"ARHGAP5",4.57392105802476
"EBF3",4.57383198128143
"CHD6",4.56770195119637
"ATP1A4",4.56675315016455
"IGF1R",4.5650458042641
"HIVEP2",4.56368357431458
"GABRB2",4.56063916376195
"ZBTB38",4.56045147387827
"ITGAL",4.55655088009517
"AHDC1",4.55623694163074
"RBAK",4.55611714204934
"RAPGEF3",4.55595869540192
"ABCB1",4.5511492732773
"MED13L",4.55110473711944
"MYO7A",4.53759310923461
"COLEC12",4.53616859067994
"CDH24",4.53489213435206
"PLEKHG2",4.52974351017042
"A1CF",4.52909212850428
"CHD4",4.52651928285694
"COL25A1",4.52539724208999
"ZNF646",4.52436255716756
"MEF2C",4.52055632443512
"PCDH8",4.51910808065561
"SMARCA2",4.51906857551366
"ZNF473",4.51879665111049
"POLR1A",4.51742912980713
"ZBTB22",4.5136319474191
"NCKAP1L",4.50664407848503
"OR2M7",4.50493949490519
"OR2J2",4.4996723324453
"HTT",4.49884174580643
"ADAMTS5",4.49860870269267
"STK31",4.49811049227862
"BCHE",4.49787311201125
"PPFIA1",4.49784301912236
"XRN1",4.49484267565519
"CLK2",4.49320795377943
"COL6A2",4.48432175535575
"CSPG4",4.48090201945518
"ITGA2",4.48051214841498
"DBR1",4.47936360321019
"DOCK3",4.47799076065184
"DZIP3",4.47684819404709
"RASA2",4.47524781729188
"PCDHA5",4.46632533001005
"GYS1",4.46584909472422
"FBXL13",4.46584606823705
"MEFV",4.46466000610758
"BRCA1",4.46397734473657
"ZNF791",4.46263248102932
"OR4M2",4.45686428490689
"PCDHGB6",4.45340880850098
"CACNA1H",4.44264207417248
"CUL9",4.44097954962486
"SYNJ1",4.43517791556898
"OR6K6",4.43143698243458
"LILRA2",4.42987406523153
"ERCC5",4.42422459030867
"PPFIA4",4.41390189350121
"ARHGEF17",4.41231216801524
"LAMC2",4.41082020385989
"HGF",4.41066488151127
"MLLT3",4.40483503835681
"RAD50",4.40345151966064
"MRPS30",4.40170339210831
"PSMD2",4.39759988809093
"GFRA1",4.3957731966026
"CIC",4.38952800945367
"HCFC1",4.38233821884166
"KLHL25",4.37633775365917
"SGIP1",4.37501196913313
"PCDH12",4.36906517518979
"PRDM16",4.36711922305479
"CDH3",4.36241839469118
"NINL",4.36165849593121
"GOLIM4",4.35979266937395
"SH3KBP1",4.3576858349289
"SLC18A3",4.35621332311627
"PLEKHM2",4.35616919105702
"NUP160",4.35141294421283
"CDK8",4.3513064608832
"GPR45",4.34422139649334
"RASGRP1",4.34334074820473
"F8",4.34197957651094
"ODF2",4.3386689236592
"JAK1",4.33633309396867
"IL9R",4.33592939628513
"HPS3",4.32529987243743
"MPO",4.31840798730661
"ZNF671",4.31356736015177
"C1S",4.3095735945139
"CFTR",4.30437385170162
"CCNB3",4.30383233411809
"CNTN1",4.30337715634206
"ZNF658",4.30153621526214
"DENND5B",4.30095770567839
"COL4A1",4.29900187164541
"PABPC3",4.29604688821827
"JPH1",4.29008241101308
"MAST1",4.28953348327457
"KCNH4",4.28871451322356
"CACNA1B",4.28782019285943
"RPGRIP1L",4.27541317215076
"CYLD",4.27306040399175
"POLR3A",4.27087100749779
"TCERG1",4.26881569720973
"LGMN",4.26821201065218
"CTCF",4.26492589924132
"HIP1",4.26338622590227
"SRRM2",4.25993803952144
"TSHZ1",4.2576206842775
"SRSF4",4.25739131902459
"SRGAP1",4.2573808143398
"CDK5RAP2",4.25584950473679
"NEDD1",4.25341946696248
"ELN",4.25280090883652
"PCDHB14",4.25113111154439
"AKAP11",4.24926028614998
"UTP20",4.24705141424398
"GABRG2",4.24626200357666
"CHD2",4.24104957325006
"ECE2",4.23988774933177
"PBRM1",4.23957715011068
"MAP3K6",4.23788840757209
"DRD5",4.23451060806641
"CDH1",4.23105231928474
"KRT1",4.22983208398538
"CHAF1A",4.22832138945361
"ATP8B2",4.22625469719971
"DDB1",4.22133322362847
"GPR63",4.2203733709122
"ANO3",4.21620686456643
"HNF1A",4.21561626225924
"DDX11",4.21180210463125
"DHX37",4.21156653646984
"JARID2",4.21141801977323
"PCDHA8",4.20757891935834
"MCM2",4.20517427412305
"IWS1",4.19863922007656
"KCNJ3",4.19766840765542
"SF1",4.19343333068099
"NTRK1",4.19001503358743
"PALB2",4.18985841422976
"HSP90AB1",4.1885585117154
"LAMA3",4.18745605774193
"KCNJ1",4.18622323164916
"PCDH1",4.18605725873287
"SERPINA4",4.18497819789695
"ADCY7",4.1830493186435
"RASGRF2",4.1821952790622
"CYFIP1",4.18153396850905
"ADAM2",4.17710175712012
"ACTC1",4.17530795531019
"INTS7",4.17203006630411
"DPYSL4",4.167309611121
"LRPPRC",4.16622581721815
"HEATR1",4.16541964479386
"SIGLEC10",4.16516443240041
"HSD17B4",4.16176970471628
"KIAA0319",4.16172617485671
"GRIA3",4.16053420644343
"FBXL7",4.16044782390372
"SF3B1",4.15720700076467
"MYO5A",4.15623865770658
"AKAP1",4.15090499514471
"CHRD",4.14887649386782
"PCDHA9",4.14879815359322
"HLA-B",4.14768892493748
"FANCB",4.147201496098
"PCDHGB1",4.14648535978894
"ELMO3",4.14392602215272
"TAL1",4.14141720977377
"GCC1",4.14138882964695
"PER3",4.14057015264163
"INPP4B",4.14033608432245
"SPTBN4",4.13373528278454
"STAT1",4.12995366698158
"INTS2",4.12820162924176
"C7",4.12616580940665
"PCDH7",4.12303304049397
"GTF3C4",4.11830347715331
"CFHR2",4.11129912805046
"HDAC4",4.10978976711877
"FARP2",4.1094219696103
"MARK4",4.10870773689967
"CTNND1",4.10849127587662
"IQGAP2",4.10822308402009
"CLIP1",4.10326003964491
"GTPBP4",4.10323266064662
"ADRA1A",4.10192725258166
"NR5A2",4.09991583780904
"GLI1",4.09963959024778
"ACSM2A",4.0993109213979
"OR8J1",4.09678299160496
"ZNF649",4.09648336843271
"POTEF",4.0958417649328
"PCF11",4.0957801090043
"ZNF136",4.09541537205695
"BOC",4.09219147091337
"ALDH1A2",4.09210433630706
"DOK6",4.09121680032667
"RANBP2",4.0884110859795
"ANO2",4.08838557369424
"ZNF75D",4.08656718140386
"CARD11",4.08391866626318
"NR1H4",4.08321711193391
"MLLT4",4.08175082794429
"ADCY4",4.080140995247
"SOX5",4.07928031077
"ERCC4",4.07857276441229
"BTAF1",4.07821994597441
"PI4KA",4.07802239160371
"ARAP3",4.07786095337809
"USP8",4.07754917245364
"SEC23IP",4.0765214989151
"COL7A1",4.07586776244556
"AHCTF1",4.07279550493982
"FLRT3",4.07230127734561
"HSP90AA1",4.07226654023586
"GABRA5",4.07211640865564
"UBE4A",4.06690513702213
"LAMB1",4.06680831056443
"MTA1",4.06622119195371
"ACIN1",4.06535044207632
"FBXO21",4.06338286404451
"NTRK3",4.05685920518933
"PCDHB3",4.05552050436922
"NXF3",4.05542549032176
"PCDH18",4.05482378395165
"C2CD3",4.05410894446565
"HK2",4.05339451268028
"SPTBN5",4.05274887371607
"PRKCZ",4.05173071448069
"DAAM1",4.05103589730095
"ZNF10",4.05079852311638
"SEC24B",4.050767164285
"BICD1",4.04900611666763
"FCRL3",4.0485743140135
"RRP12",4.04723059915116
"PCDHGA10",4.04632697400919
"SIK3",4.04519921512277
"TRPC1",4.04372602039192
"A4GNT",4.04259629723899
"HIF3A",4.04216524703526
"HSPA4",4.04082683280626
"PCDHGA5",4.03640769583337
"OR5AR1",4.03352595899022
"RXRG",4.03343118426493
"INTS8",4.03320970889681
"PPP1R3A",4.03291452814971
"INTS10",4.03152415501386
"POT1",4.03132669524582
"HPSE2",4.03117628956965
"ACTN3",4.03089496498217
"TAF10",4.02775941104016
"ATP1A3",4.02742900883273
"COL2A1",4.02718873826007
"CHD9",4.02644213591505
"EIF2AK1",4.02351288720709
"RSF1",4.0220581487195
"NFATC3",4.02181996026757
"DHX36",4.01988581467129
"NUP93",4.01860432261481
"PIK3C2B",4.01803054767544
"SELE",4.01193400158639
"LTN1",4.01029668926919
"FBXO10",4.00072604742296
"CCDC18",4.00059934434135
"TAF6",3.99983240776203
"HSPA1L",3.99877271278321
"TIMELESS",3.99810436243982
"NDN",3.99597974289664
"ART1",3.99518502530479
"L3MBTL3",3.99460918641259
"C3AR1",3.99164172697313
"FGFR4",3.98940766009762
"NKD1",3.9848855504579
"RNF14",3.98223486961634
"ABCF1",3.98074115564449
"ITSN1",3.98008331333856
"CATSPER2",3.976734688913
"ZNF253",3.97575454433203
"MAPK9",3.97101889551694
"MAFB",3.96880877255396
"PSME4",3.9686880207737
"CUL1",3.96296468198965
"ZNF615",3.96294422485578
"NAP1L3",3.96284372562822
"CACNB1",3.95449749333516
"COG5",3.95446583617263
"RGL1",3.95444753139594
"ZNF618",3.95391185747527
"CD1D",3.95095272429078
"ITPR1",3.95053799422845
"UGT2B11",3.95037337702489
"SRSF6",3.94661733114208
"NCAN",3.94313459644842
"PAG1",3.94188904494613
"CLCA1",3.94128172929104
"AUTS2",3.93995054086995
"CRTC3",3.93829600953906
"PIK3CB",3.93373816507006
"TUBA3C",3.93153284942308
"IFT140",3.931184718636
"LINGO1",3.93054273121232
"IFIH1",3.92364194790654
"EPCAM",3.91938442413529
"COPB1",3.91167047824993
"GCC2",3.90818490609476
"ITGA4",3.90784617523803
"BRIP1",3.90666031840065
"GPC3",3.90613370023381
"PCDHGB2",3.90445143189624
"GALNT13",3.90342126818912
"ATG2A",3.90260206543809
"MDC1",3.89979461742712
"NUDT19",3.89880018620196
"DEPDC5",3.89826346970746
